,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1886,1887,29,22,30,6,2.1494,3,87,2020/10/14 14:28
1887,1888,29,58,100,26,2.5775,3,213,2020/10/14 14:28
1888,1889,26,45,65,23,2.5346,3,159,2020/10/14 14:28
1889,1890,2,29,33,4,2.5735,3,68,2020/10/14 14:28
1890,1891,51,27,55,7,2.1286,3,140,2020/10/14 14:28
1891,1892,40,41,72,21,2.4253,3,174,2020/10/14 14:28
1892,1893,6,44,83,20,2.7647,3,153,2020/10/14 14:28
1893,1894,32,24,61,11,2.3984,3,128,2020/10/14 14:28
1894,1895,5,23,58,26,2.9375,3,112,2020/10/14 14:28
1895,1896,17,31,40,4,2.337,3,92,2020/10/14 14:28
1896,1897,26,20,29,5,2.1625,3,80,2020/10/14 14:28
1897,1898,20,34,72,13,2.5612,3,139,2020/10/14 14:28
1898,1899,7,27,67,19,2.8167,3,120,2020/10/14 14:28
1899,1900,31,27,41,17,2.3793,3,116,2020/10/14 14:28
1900,1901,13,13,16,1,2.1163,3,43,2020/10/14 14:28
1901,1902,65,37,76,17,2.2308,3,195,2020/10/14 14:28
1902,1903,17,22,73,30,2.8169,3,142,2020/10/14 14:28
1903,1904,1,1,0,0,1.5,1,2,2020/10/14 14:28
1904,1905,1,1,0,0,1.5,1,2,2020/10/14 14:28
1905,1906,11,19,41,4,2.5067,3,75,2020/10/14 14:28
1906,1907,51,27,55,7,2.1286,3,140,2020/10/14 14:28
1907,1908,22,50,91,31,2.6753,3,194,2020/10/14 14:28
1908,1909,15,37,88,26,2.753,3,166,2020/10/14 14:28
1909,1910,5,27,76,29,2.9416,3,137,2020/10/14 14:28
1910,1911,5,28,77,29,2.9353,3,139,2020/10/14 14:28
1911,1912,58,33,72,17,2.2667,3,180,2020/10/14 14:28
1912,1913,17,28,51,16,2.5893,3,112,2020/10/14 14:28
1913,1914,18,56,87,24,2.6324,3,185,2020/10/14 14:28
1914,1915,5,28,77,27,2.9197,3,137,2020/10/14 14:28
1915,1916,20,41,70,12,2.5175,3,143,2020/10/14 14:28
1916,1917,9,34,45,5,2.4946,3,93,2020/10/14 14:28
1917,1918,1,20,27,4,2.6538,3,52,2020/10/14 14:28
1918,1919,13,43,105,34,2.8205,3,195,2020/10/14 14:28
